TransactionID,OrderNumber,OrderDate,DeliveryDate,Quantity,CustomerID,StoreID,ProductID,ProductName,ProductBrand,ProductColor,ProductCost,ProductSalePrice,PackagingCouries,Profit,ProductSubcategory,ProductCategory,total sale,total profit
10000001,1000000,2017-09-26,2017-10-01,7,1152038,38,220,Litware Home Theater System 7.1 Channel X711 Silver,Litware,Silver,367.43,789.9745,67.1478325,355.3966675,Home Theater System,TV and Video,5529.8215,2487.776673
10000002,1000000,2017-09-26,2017-10-01,1,1152038,38,1523,The Phone Company PDA Phone 3.5 inches M320 Black,The Phone Company,Black,137.5,295.625,25.128125,132.996875,Smart phones & PDAs,Cell phones,295.625,132.996875
10000003,1000000,2017-09-26,2017-10-01,3,1152038,38,2103,Contoso Water Heater 2.6GPM E0900 Silver,Contoso,Silver,258.99,556.8285,47.3304225,250.5080775,Water Heaters,Home Appliances,1670.4855,751.5242325
10000004,1000000,2017-09-26,2017-10-01,7,1152038,38,2112,Contoso Water Heater 4.0GPM M1250 Red,Contoso,Red,363.75,782.0625,66.4753125,351.8371875,Water Heaters,Home Appliances,5474.4375,2462.860313
10000011,1000001,2017-09-26,2017-10-01,1,240085,0,1513,The Phone Company Smart phones 8 GB of Memory M400 Gold,The Phone Company,Gold,123.7,265.955,22.606175,119.648825,Smart phones & PDAs,Cell phones,265.955,119.648825
10000012,1000001,2017-09-26,2017-10-01,5,240085,0,1577,SV DVD Recorder L200 Black,Southridge Video,Black,72.56,156.004,13.26034,70.18366,Movie DVD,"Music, Movies and Audio Books",780.02,350.9183
10000013,1000001,2017-09-26,2017-10-01,8,240085,0,2491,Cigarette Lighter Adapter for Contoso Phones E110 Black,Contoso,Black,12.74,27.391,2.328235,12.322765,Cell phones Accessories,Cell phones,219.128,98.58212
10000014,1000001,2017-09-26,2017-10-01,6,240085,0,2512,Contoso Bluetooth Active Headphones L15 Black,Contoso,Black,43.07,92.6005,7.8710425,41.6594575,Cell phones Accessories,Cell phones,555.603,249.956745
10000021,1000002,2017-09-26,2017-10-01,3,1201619,56,444,WWI Desktop PC2.33 X2330 Black,Wide World Importers,Black,304.48,654.632,55.64372,294.50828,Desktops,Computers,1963.896,883.52484
10000022,1000002,2017-09-26,2017-10-01,7,1201619,56,1673,MGS Hand Games for kids E300 Red,Tailspin Toys,Red,2.8,6.02,0.5117,2.7083,Boxed Games,Games and Toys,42.14,18.9581
10000023,1000002,2017-09-26,2017-10-01,2,1201619,56,2111,Contoso Water Heater 4.3GPM M1250 Red,Contoso,Red,403.53,867.5895,73.7451075,390.3143925,Water Heaters,Home Appliances,1735.179,780.628785
10000024,1000002,2017-09-26,2017-10-01,3,1201619,56,1702,SV Hand Games for Office worker L28 Red,Southridge Video,Red,5.63,12.1045,1.0288825,5.4456175,Boxed Games,Games and Toys,36.3135,16.3368525
10000031,1000003,2017-09-26,2017-10-01,2,1574270,66,48,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Silver,76.45,164.3675,13.9712375,73.9462625,Recording Pen,Audio,328.735,147.892525
10000041,1000004,2017-09-26,2017-10-01,3,1542638,51,2014,Fabrikam Microwave 2.2CuFt M1250 Blue,Fabrikam,Blue,91.97,197.7355,16.8075175,88.9579825,Microwaves,Home Appliances,593.2065,266.8739475
10000042,1000004,2017-09-26,2017-10-01,2,1542638,51,93,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Blue,34.36,73.874,6.27929,33.23471,Bluetooth Headphones,Audio,147.748,66.46942
10000051,1000005,2017-09-26,2017-10-01,1,497899,19,1546,The Phone Company PDA Phone Unlocked 4.7 inches L550 Silver,The Phone Company,Silver,100.06,215.129,18.285965,96.783035,Smart phones & PDAs,Cell phones,215.129,96.783035
10000061,1000006,2017-09-26,2017-10-01,8,758494,30,1657,Contoso DVD 12-Inch Player Portable M400 White,Contoso,White,82.77,177.9555,15.1262175,80.0592825,Movie DVD,"Music, Movies and Audio Books",1423.644,640.47426
10000081,1000008,2017-09-26,2017-10-01,1,354010,8,98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Silver,55.18,118.637,10.084145,53.372855,Bluetooth Headphones,Audio,118.637,53.372855
