TransactionID,CustomerID,StoreID,StoreCountry,StoreState,StoreSqMeters,StoreOpenDate
10000001,1152038,38,United Kingdom,Belfast,1800,2015-04-04
10000002,1152038,38,United Kingdom,Belfast,1800,2015-04-04
10000003,1152038,38,United Kingdom,Belfast,1800,2015-04-04
10000004,1152038,38,United Kingdom,Belfast,1800,2015-04-04
10000011,240085,0,Online,Online,0,2010-01-01
10000012,240085,0,Online,Online,0,2010-01-01
10000013,240085,0,Online,Online,0,2010-01-01
10000014,240085,0,Online,Online,0,2010-01-01
10000021,1201619,56,United States,New Hampshire,1260,2015-01-01
10000022,1201619,56,United States,New Hampshire,1260,2015-01-01
10000023,1201619,56,United States,New Hampshire,1260,2015-01-01
10000024,1201619,56,United States,New Hampshire,1260,2015-01-01
10000031,1574270,66,United States,Wyoming,840,2014-01-01
10000041,1542638,51,United States,Maine,1295,2010-01-01
10000042,1542638,51,United States,Maine,1295,2010-01-01
10000051,497899,19,Germany,Berlin,1295,2015-04-04
10000061,758494,30,Italy,Pesaro,2100,2008-01-12
10000081,354010,8,Canada,Newfoundland and Labrador,2105,2014-07-02
10000091,1697711,56,United States,New Hampshire,1260,2015-01-01
10000092,1697711,56,United States,New Hampshire,1260,2015-01-01
10000093,1697711,56,United States,New Hampshire,1260,2015-01-01
10000094,1697711,56,United States,New Hampshire,1260,2015-01-01
10000095,1697711,56,United States,New Hampshire,1260,2015-01-01
10010001,1883710,51,United States,Maine,1295,2010-01-01
10010011,1802110,63,United States,Utah,2000,2008-03-06
10010012,1802110,63,United States,Utah,2000,2008-03-06
10010013,1802110,63,United States,Utah,2000,2008-03-06
10010014,1802110,63,United States,Utah,2000,2008-03-06
10010021,351430,10,Canada,Nunavut,1210,2015-04-04
10010022,351430,10,Canada,Nunavut,1210,2015-04-04
10010023,351430,10,Canada,Nunavut,1210,2015-04-04
10010041,906967,41,United Kingdom,Fermanagh,2100,2013-06-07
10010042,906967,41,United Kingdom,Fermanagh,2100,2013-06-07
10010043,906967,41,United Kingdom,Fermanagh,2100,2013-06-07
10010044,906967,41,United Kingdom,Fermanagh,2100,2013-06-07
10010051,1028704,36,United Kingdom,Armagh,1300,2014-07-02
10010061,389532,9,Canada,Northwest Territories,1500,2005-03-04
10010062,389532,9,Canada,Northwest Territories,1500,2005-03-04
10010063,389532,9,Canada,Northwest Territories,1500,2005-03-04
10010071,1107432,41,United Kingdom,Fermanagh,2100,2013-06-07
